pop1,pop2,mean_pairwise_IBD_length,lat,long
Basque-Spain,Somali,0.307,5.6,48.3
Mansi,Somali,0.199,5.6,48.3
French-Southeast,Spanish-South,3.471,37.7,-3.55
Libyan,Hungary-AJ,1.917,47.5,19.08
Eritrean,Kazakh-East,0.316,44,87.46
Spanish-Northwest,Hungary-AJ,2.042,47.5,19.08
Jew-Iberian,Spanish-Northwest,2.297,42.5,-8.1
Cossack,Swede,7.317,59.31,18
Brahmin,Roman-Iberia,1.605,40.67,-3.14
Kyrgyz-South,Roman-Iberia,0.76,40.67,-3.14
English-Southeast,Albanian,4.019,41.32,19.82
Spanish-Northwest,Jew-Kurdish,1.316,36.34,43.15
Cossack,Hemshin,3.265,41,39.7
Algerian,Basque-Spain,0.817,43.13,-2.08
Algerian,Greek-South,0.724,37.9,23.7
Jew-Iberian,Italian-South,1.846,41.89,14.49
Netherlands-AJ,Avar,1.465,41.93,47.33
English-Southeast,Roman-Iberia,2.472,40.67,-3.14
Jew-Iraqi,Avar,0.702,41.93,47.33
Scot,Hazara,1.947,33.5,70
French-Southeast,Yemenite-Northwest,0.992,15.74,44.45
Sicilian-East,Belarusian,2.86,53.64,27.47
Libyan,Jew-Kurdish,1.337,36.34,43.15
Eritrean,Austria-AJ,0.242,48.2,16.37
Kyrgyz-South,Albanian,0.904,41.32,19.82
Austria-AJ,Turkmen,0.979,42.49,59.41
Afar,Belarusian,0.31,53.64,27.47
Brahmin,Albanian,2.166,41.32,19.82
Netherlands-AJ,Bashkir,1.98,54.32,56.12
English-Southwest,BedouinB,0.683,31,35
Austria-AJ,Hungarian,2.553,47.49,19.07
Shaigi,Italian-North,1.546,46,10
Jew-Cochin,BedouinB,0.963,31,35
Jew-Iraqi,Bashkir,1.076,54.32,56.12
French-Southwest,Greek-South,1.992,37.9,23.7
Kryashen,Hazara,2.446,33.5,70
Spanish-Northwest,Jew-Iranian,1.206,35.7,51.42
French-Southeast,Darginian,1.901,42.18,47.22
Libyan,Georgian,0.924,41.96,42.06
Spanish-Northwest,Georgian,1.317,41.96,42.06
Mansi,Czechia-AJ,2.02,50.08,14.47
Eritrean,Kazakh-West,0.396,51.8,67.16
English-Southeast,Turk-Northeast,1.514,41,39.73
Basque-Spain,Czechia-AJ,3.299,50.08,14.47
Cossack,Iranian-South,1.6,27.18,56.27
Cossack,Brahui,1.011,30.5,66.5
Jew-Iberian,English-Southwest,1.577,50.3,-4.9
English-Southeast,Yemenite-Highlands,0.984,14.34,44.68
Algerian,Estonian,1.218,58.45,25.31
Brahmin,Yemenite-Highlands,0.751,14.34,44.68
Kyrgyz-South,Yemenite-Highlands,0.353,14.34,44.68
French-Southeast,Jew-Bulgarian,2.477,42.68,23.32
Netherlands-AJ,Turk-South,1.791,37,35.32
Scot,Kumyk,3.259,43.18,46.76
Jew-Iberian,Tuscan,2.179,43.36,11.12
Algerian,Kyrgyz-South,0.34,38.11,73.86
Libyan,Jew-Iranian,1.36,35.7,51.42
Jew-Iraqi,Turk-South,1.328,37,35.32
Sicilian-East,Basque-France,2.633,43,0
Austria-AJ,Turk-West,1.54,37.92,27.75
Afar,Basque-France,0.36,43,0
Kyrgyz-South,Turk-Northeast,0.727,41,39.73
Brahmin,Turk-Northeast,1.201,41,39.73
Eritrean,Kryashen,0.0,56.6,60.97
Netherlands-AJ,Spanish-Catalonia,3.453,41.68,1.66
English-Southwest,Jew-Uzbek,2.088,41.31,69.29
Jew-Cochin,Jew-Uzbek,1.78,41.31,69.29
French-Southwest,Estonian,4.795,58.45,25.31
Shaigi,Circassian,0.771,44.28,41.55
Austria-AJ,Mozabite,1.014,32,3
Jew-Iraqi,Spanish-Catalonia,1.353,41.68,1.66
Kryashen,Kumyk,2.718,43.18,46.76
Spanish-Northwest,Germany-AJ,2.112,52.52,13.4
Spanish-Northwest,Lak,1.399,42.17,47.12
French-Southeast,Jew-Kurdish,1.028,36.34,43.15
Mansi,Lezgin,1.589,42.05,48.1
Cossack,Ukranian-West,12.002,50.3,25.49
Libyan,Germany-AJ,1.811,52.52,13.4
Cossack,Uzbek-East,2.67,41.18,69.22
Eritrean,Lithuanian,0.503,55,23.93
English-Southeast,Russian-Northwest,5.171,57.59,28.73
English-Southeast,Spanish-Balearic,4.863,39.33,2.37
Brahmin,Spanish-Balearic,1.529,39.33,2.37
Afar,Croat,0.203,43.63,16.84
Basque-Spain,Lezgin,2.445,42.05,48.1
Algerian,Russian-Arctic,1.409,63.43,45.1
French-Southeast,Hungary-AJ,3.724,47.5,19.08
Netherlands-AJ,Karakalpak,1.456,42.48,59.61
Jew-Iberian,French-Southeast,2.194,44.01,6.21
Jew-Iberian,Slovenian,2.533,46.15,15
Libyan,Lak,0.634,42.17,47.12
Brahmin,Russian-Northwest,1.475,57.59,28.73
Kyrgyz-South,Spanish-Balearic,0.879,39.33,2.37
Austria-AJ,Maltese,2.058,35.94,14.38
Eritrean,Jew-Iberian,1.073,40.39,-4.91
Sicilian-East,Croat,2.487,43.63,16.84
Algerian,Sicilian-East,1.681,37.14,15.24
Scot,Orcadian,10.332,59,-3
English-Southwest,Greek-North,3.062,40.64,22.94
Jew-Cochin,Greek-North,1.56,40.64,22.94
French-Southwest,Russian-Arctic,3.699,63.43,45.1
Jew-Iraqi,Karakalpak,0.67,42.48,59.61
Kyrgyz-South,Russian-Northwest,1.441,57.59,28.73
Shaigi,Iranian-North,1.19,36.29,52.43
Kryashen,Orcadian,5.463,59,-3
Austria-AJ,Iranian-Central,1.407,31.43,51.07
Jew-Iraqi,Poland-AJ,2.099,52.25,21
Netherlands-AJ,Poland-AJ,83.724,52.25,21
Spanish-Northwest,Tatar-Volga,2.43,54.19,52.71
French-Southeast,Jew-Iranian,1.396,35.7,51.42
Spanish-Northwest,Punjabi,0.516,29.89,74.48
Mansi,Kazakh-East,3.799,44,87.46
Eritrean,Balkar,0.448,43.5,43.61
Cossack,Russian-Southwest,14.688,51.34,36.86
English-Southeast,Latvian,7.045,56.91,24.1
Netherlands-AJ,Turk-Central,1.493,38.73,35.48
Libyan,Tatar-Volga,1.121,54.19,52.71
Brahmin,Druze,0.931,32.05,35.02
English-Southeast,Druze,1.594,32.05,35.02
Algerian,Karelian,0.862,60.85,32.14
Basque-Spain,Kazakh-East,1.372,44,87.46
Jew-Iberian,Slovakian,2.79,48.67,19.7
Afar,Sicilian-West,0.423,38.02,12.52
Cossack,Tatar-Siberia,3.4,57.75,67.71
French-Southeast,Georgian,1.167,41.96,42.06
Kyrgyz-South,Druze,0.715,32.05,35.02
English-Southwest,German,5.272,51.48,10.37
Brahmin,Latvian,1.754,56.91,24.1
Libyan,Punjabi,0.0,29.89,74.48
Sicilian-East,Sicilian-West,2.662,38.02,12.52
Jew-Iberian,Jew-Cochin,4.679,9.97,76.28
Scot,Uyghur-North,1.138,43.95,80.86
Eritrean,Brahmin,0.951,26.4,83.33
Austria-AJ,Tunisian,2.025,36.82,10.17
Jew-Cochin,German,1.339,51.48,10.37
French-Southwest,Karelian,4.358,60.85,32.14
Kyrgyz-South,Latvian,2.14,56.91,24.1
Algerian,Jew-Iraqi,0.817,33.33,44.42
Kryashen,Uyghur-North,1.798,43.95,80.86
Jew-Iraqi,Turk-Central,1.391,38.73,35.48
Shaigi,BedouinB,2.844,31,35
Jew-Iraqi,Russian-Central,1.357,57.19,38.52
Austria-AJ,Romania-AJ,95.517,44.43,26.1
Netherlands-AJ,Russian-Central,3.858,57.19,38.52
Spanish-Northwest,Yemenite-Desert,0.608,16.48,50.03
French-Southeast,Lak,1.592,42.17,47.12
Mansi,Kazakh-West,4.054,51.8,67.16
Spanish-Northwest,Lebanese-Christian,0.96,33.89,35.5
Cossack,Ukranian-East,13.951,50.74,34.39
English-Southeast,Gagauz,4.084,45.54,28.38
Eritrean,Kabardian,0.348,43.45,43.37
Netherlands-AJ,Moroccan,2.208,33.53,-7.58
Jew-Iberian,Corsican,2.113,42.04,9.01
English-Southwest,Somali,0.14,5.6,48.3
Algerian,Gujarati,0.524,23.2,72.7
Brahmin,Adygei,1.505,44.39,39.31
Libyan,Yemenite-Desert,3.268,16.48,50.03
Cossack,Spanish-Central,3.036,40.36,-3.74
Basque-Spain,Kazakh-West,1.157,51.8,67.16
English-Southeast,Adygei,2.881,44.39,39.31
Kyrgyz-South,Adygei,1.203,44.39,39.31
Brahmin,Gagauz,0.722,45.54,28.38
Afar,Udmurt,0.244,56.43,52.66
French-Southeast,Germany-AJ,3.161,52.52,13.4
Libyan,Lebanese-Christian,1.121,33.89,35.5
Scot,Spanish-Valencia,4.977,39.02,-0.37
Jew-Cochin,Somali,0.246,5.6,48.3
Jew-Iberian,Libyan,1.424,32.88,13.19
Austria-AJ,Jew-Turkish,16.541,41.02,28.95
French-Southwest,Gujarati,0.901,23.2,72.7
Eritrean,Shaigi,0.847,15.6,32.5
Sicilian-East,Udmurt,1.507,56.43,52.66
Algerian,French-Southwest,0.425,43.5,-0.72
Kyrgyz-South,Gagauz,1.461,45.54,28.38
Kryashen,Spanish-Valencia,2.628,39.02,-0.37
Jew-Iraqi,Moroccan,1.032,33.53,-7.58
Shaigi,Jew-Uzbek,1.117,41.31,69.29
Austria-AJ,BedouinA,1.178,31,35
Spanish-Northwest,Lithuania-AJ,2.36,54.68,25.32
French-Southeast,Punjabi,1.012,29.89,74.48
Cossack,Turkmen,1.831,42.49,59.41
Spanish-Northwest,Bulgarian,2.565,42.16,24.74
Mansi,Lithuanian,6.446,55,23.93
Netherlands-AJ,Romanian,3.06,45.78,22.95
English-Southwest,Czechia-AJ,3.079,50.08,14.47
Eritrean,Belarusian,0.582,53.64,27.47
Algerian,Pashtun,0.432,33.49,70.5
Jew-Iberian,Greek-South,1.959,37.9,23.7
English-Southeast,Bengali,1.553,23.51,89.9
Brahmin,Tajik,1.48,38.41,69.6
Cossack,Hungarian,9.207,47.49,19.07
Basque-Spain,Lithuanian,4.879,55,23.93
Brahmin,Bengali,2.507,23.51,89.9
French-Southeast,Tatar-Volga,3.284,54.19,52.71
English-Southeast,Tajik,2.487,38.41,69.6
Libyan,Lithuania-AJ,1.931,54.68,25.32
Afar,Belarus-AJ,0.719,53.9,27.57
Kyrgyz-South,Tajik,2.089,38.41,69.6
Libyan,Bulgarian,2.083,42.16,24.74
Jew-Cochin,Czechia-AJ,2.43,50.08,14.47
Jew-Iberian,Basque-Spain,4.146,43.13,-2.08
Eritrean,Cossack,0.509,46.4,37.03
Austria-AJ,Syrian,1.601,35.13,36.87
Scot,Moldavian,3.689,46.51,29.66
Algerian,Jew-Moroccan,1.605,34.02,-6.84
Kryashen,Moldavian,4.257,46.51,29.66
French-Southwest,Pashtun,0.99,33.49,70.5
Sicilian-East,Belarus-AJ,2.621,53.9,27.57
Kyrgyz-South,Bengali,0.671,23.51,89.9
Shaigi,Greek-North,1.655,40.64,22.94
Jew-Iraqi,Romanian,1.202,45.78,22.95
Austria-AJ,Nogai,1.379,44.82,43.22
French-Southwest,Jew-Moroccan,2.622,34.02,-6.84
Spanish-Northwest,Roman-Iberia,2.649,40.67,-3.14
English-Southwest,Lezgin,2.341,42.05,48.1
Cossack,Turk-West,2.507,37.92,27.75
French-Southeast,Lebanese-Christian,1.127,33.89,35.5
Jew-Iberian,Estonian,2.006,58.45,25.31
Mansi,Balkar,2.104,43.5,43.61
Eritrean,Basque-France,0.504,43,0
Netherlands-AJ,Saudi,1.402,19.75,43.35
Spanish-Northwest,Albanian,3.273,41.32,19.82
Brahmin,Palestinian,0.863,32.13,35.04
Algerian,Chuvash,1.057,55.33,48.74
English-Southeast,French-North,6.897,50.18,2.37
English-Southeast,Palestinian,1.648,32.13,35.04
Basque-Spain,Balkar,2.323,43.5,43.61
Cossack,Mozabite,1.135,32,3
Brahmin,French-North,1.758,50.18,2.37
French-Southeast,Yemenite-Desert,0.855,16.48,50.03
Libyan,Roman-Iberia,0.876,40.67,-3.14
Afar,Sindhi,0.21,25.49,69
Kyrgyz-South,Palestinian,0.601,32.13,35.04
Eritrean,Scot,0.853,56.04,-3.94
Algerian,Jew-French,2.147,48.87,2.33
Jew-Cochin,Lezgin,1.117,42.05,48.1
Jew-Iberian,Kyrgyz-South,0.579,38.11,73.86
Libyan,Albanian,1.757,41.32,19.82
Scot,Jew-Azeri,1.423,40.88,48.02
Austria-AJ,Jew-Libyan,4.183,32.92,13.18
Kryashen,Jew-Azeri,1.266,40.88,48.02
Sicilian-East,Sindhi,0.974,25.49,69
French-Southwest,Chuvash,2.291,55.33,48.74
Shaigi,German,1.42,51.48,10.37
Kyrgyz-South,French-North,1.199,50.18,2.37
Jew-Iraqi,Saudi,1.659,19.75,43.35
French-Southwest,Jew-French,2.242,48.87,2.33
Austria-AJ,Kyrgyz-North,0.489,43.12,81.15
Spanish-Northwest,Yemenite-Highlands,0.788,14.34,44.68
Cossack,Maltese,2.001,35.94,14.38
English-Southwest,Kazakh-East,1.223,44,87.46
Eritrean,Croat,0.533,43.63,16.84
Mansi,Kabardian,2.275,43.45,43.37
Jew-Iberian,Russian-Arctic,2.312,63.43,45.1
Netherlands-AJ,Portuguese,3.96,39.4,-8.22
French-Southeast,Bulgarian,2.77,42.16,24.74
