pop1,pop2,mean_pairwise_IBD_length,pop1_size,pop2_size,IBD_len_SE,lat,long,continent,country
Basque-Spain,Somali,0.307,6,13,0.1,5.6,48.3,Africa,Kenya
Mansi,Somali,0.199,5,13,0.1,5.6,48.3,Africa,Kenya
French-Southeast,Spanish-South,3.471,5,8,0.561,37.7,-3.55,Europe,Spain
Libyan,Hungary-AJ,1.917,5,26,0.188,47.5,19.08,Europe,Hungary
Eritrean,Kazakh-East,0.316,3,13,0.153,44,87.46,Asia,Kazakhstan
Spanish-Northwest,Hungary-AJ,2.042,5,26,0.248,47.5,19.08,Europe,Hungary
Jew-Iberian,Spanish-Northwest,2.297,3,5,1.008,42.5,-8.1,Europe,Spain
Cossack,Swede,7.317,4,20,0.53,59.31,18,Europe,Sweden
Brahmin,Roman-Iberia,1.605,3,28,0.246,40.67,-3.14,Europe,Spain
Kyrgyz-South,Roman-Iberia,0.76,6,28,0.109,40.67,-3.14,Europe,Spain
English-Southeast,Albanian,4.019,5,9,0.5,41.32,19.82,Europe,Albania
Spanish-Northwest,Jew-Kurdish,1.316,5,8,0.284,36.34,43.15,Asia,Iraq
Cossack,Hemshin,3.265,4,8,0.627,41,39.7,Europe,Russia
Algerian,Basque-Spain,0.817,4,6,0.296,43.13,-2.08,Europe,Spain
Algerian,Greek-South,0.724,4,16,0.182,37.9,23.7,Europe,Greece
Jew-Iberian,Italian-South,1.846,3,15,0.362,41.89,14.49,Europe,Italy
Netherlands-AJ,Avar,1.465,4,10,0.27,41.93,47.33,Europe,Russia
English-Southeast,Roman-Iberia,2.472,5,28,0.207,40.67,-3.14,Europe,Spain
Jew-Iraqi,Avar,0.702,6,10,0.16,41.93,47.33,Europe,Russia
Scot,Hazara,1.947,4,11,0.33,33.5,70,Asia,Pakistan
French-Southeast,Yemenite-Northwest,0.992,5,26,0.157,15.74,44.45,Asia,Yemen
Sicilian-East,Belarusian,2.86,6,14,0.274,53.64,27.47,Europe,Belarus
Libyan,Jew-Kurdish,1.337,5,8,0.332,36.34,43.15,Asia,Iraq
Eritrean,Austria-AJ,0.242,3,3,0.242,48.2,16.37,Europe,Austria
Kyrgyz-South,Albanian,0.904,6,9,0.21,41.32,19.82,Europe,Albania
Austria-AJ,Turkmen,0.979,3,8,0.288,42.49,59.41,Asia,Uzbekistan
Afar,Belarusian,0.31,5,14,0.113,53.64,27.47,Europe,Belarus
Brahmin,Albanian,2.166,3,9,0.382,41.32,19.82,Europe,Albania
Netherlands-AJ,Bashkir,1.98,4,56,0.162,54.32,56.12,Europe,Russia
English-Southwest,BedouinB,0.683,5,12,0.18,31,35,Asia,Israel
Austria-AJ,Hungarian,2.553,3,21,0.405,47.49,19.07,Europe,Hungary
Shaigi,Italian-North,1.546,3,12,0.357,46,10,Europe,Italy
Jew-Cochin,BedouinB,0.963,5,12,0.231,31,35,Asia,Israel
Jew-Iraqi,Bashkir,1.076,6,56,0.095,54.32,56.12,Europe,Russia
French-Southwest,Greek-South,1.992,6,16,0.263,37.9,23.7,Europe,Greece
Kryashen,Hazara,2.446,3,11,0.509,33.5,70,Asia,Pakistan
Spanish-Northwest,Jew-Iranian,1.206,5,9,0.269,35.7,51.42,Asia,Iran
French-Southeast,Darginian,1.901,5,8,0.433,42.18,47.22,Europe,Russia
Libyan,Georgian,0.924,5,26,0.148,41.96,42.06,Asia,Turkey
Spanish-Northwest,Georgian,1.317,5,26,0.158,41.96,42.06,Asia,Turkey
Mansi,Czechia-AJ,2.02,5,13,0.335,50.08,14.47,Europe,Czechia
Eritrean,Kazakh-West,0.396,3,13,0.153,51.8,67.16,Asia,Kazakhstan
English-Southeast,Turk-Northeast,1.514,5,9,0.329,41,39.73,Asia,Turkey
Basque-Spain,Czechia-AJ,3.299,6,13,0.353,50.08,14.47,Europe,Czechia
Cossack,Iranian-South,1.6,4,8,0.311,27.18,56.27,Asia,Iran
Cossack,Brahui,1.011,4,21,0.178,30.5,66.5,Asia,Pakistan
Jew-Iberian,English-Southwest,1.577,3,5,0.436,50.3,-4.9,Europe,United Kingdom
English-Southeast,Yemenite-Highlands,0.984,5,29,0.131,14.34,44.68,Asia,Yemen
Algerian,Estonian,1.218,4,16,0.24,58.45,25.31,Europe,Estonia
Brahmin,Yemenite-Highlands,0.751,3,29,0.161,14.34,44.68,Asia,Yemen
Kyrgyz-South,Yemenite-Highlands,0.353,6,29,0.073,14.34,44.68,Asia,Yemen
French-Southeast,Jew-Bulgarian,2.477,5,26,0.238,42.68,23.32,Europe,Bulgaria
Netherlands-AJ,Turk-South,1.791,4,10,0.369,37,35.32,Asia,Turkey
Scot,Kumyk,3.259,4,11,0.558,43.18,46.76,Europe,Russia
Jew-Iberian,Tuscan,2.179,3,15,0.353,43.36,11.12,Europe,Italy
Algerian,Kyrgyz-South,0.34,4,6,0.248,38.11,73.86,Asia,Tajikistan
Libyan,Jew-Iranian,1.36,5,9,0.259,35.7,51.42,Asia,Iran
Jew-Iraqi,Turk-South,1.328,6,10,0.212,37,35.32,Asia,Turkey
Sicilian-East,Basque-France,2.633,6,14,0.303,43,0,Europe,France
Austria-AJ,Turk-West,1.54,3,8,0.361,37.92,27.75,Asia,Turkey
Afar,Basque-France,0.36,5,14,0.116,43,0,Europe,France
Kyrgyz-South,Turk-Northeast,0.727,6,9,0.175,41,39.73,Asia,Turkey
Brahmin,Turk-Northeast,1.201,3,9,0.323,41,39.73,Asia,Turkey
Eritrean,Kryashen,0.0,3,3,0.0,56.6,60.97,Europe,Russia
Netherlands-AJ,Spanish-Catalonia,3.453,4,57,0.208,41.68,1.66,Europe,Spain
English-Southwest,Jew-Uzbek,2.088,5,12,0.276,41.31,69.29,Asia,Uzbekistan
Jew-Cochin,Jew-Uzbek,1.78,5,12,0.326,41.31,69.29,Asia,Uzbekistan
French-Southwest,Estonian,4.795,6,16,0.36,58.45,25.31,Europe,Estonia
Shaigi,Circassian,0.771,3,12,0.326,44.28,41.55,Europe,Russia
Austria-AJ,Mozabite,1.014,3,21,0.246,32,3,Africa,Algeria
Jew-Iraqi,Spanish-Catalonia,1.353,6,57,0.108,41.68,1.66,Europe,Spain
Kryashen,Kumyk,2.718,3,11,0.492,43.18,46.76,Europe,Russia
Spanish-Northwest,Germany-AJ,2.112,5,26,0.244,52.52,13.4,Europe,Germany
Spanish-Northwest,Lak,1.399,5,9,0.308,42.17,47.12,Europe,Russia
French-Southeast,Jew-Kurdish,1.028,5,8,0.28,36.34,43.15,Asia,Iraq
Mansi,Lezgin,1.589,5,13,0.215,42.05,48.1,Europe,Russia
